Eruption date;Country;Volcano Name;Location;Tsunami;Earthquake;Elevation;Volcano Type;Status;Volcanic Explosivity Index;Volcano : Deaths;Total Effects : Deaths;Coordinates
1280-01-01;Ecuador;Quilotoa;Ecuador;non;non;3914;Caldera;Radiocarbon;6;;;-0.85, -78.9
1540-01-01;United States;Augustine;Alaska-SW;oui;non;1252;Lava dome;Historical;4;;;59.37, -153.42
1864-01-03;Indonesia;Kelut;Java;non;non;1731;Stratovolcano;Historical;2;54;54;-7.93, 112.308
1902-08-07;Japan;Tori-shima;Izu Is-Japan;non;non;403;Stratovolcano;Historical;3;125;125;30.48, 140.32
1907-08-04;Ethiopia;Alayta;Africa-NE;non;non;1501;Shield volcano;Historical;2;;;12.88, 40.57
1909-09-01;Indonesia;Semeru;Java;non;non;3676;Stratovolcano;Historical;2;221;221;-8.108, 112.92
1963-09-28;Guatemala;Fuego;Guatemala;non;non;3763;Stratovolcano;Historical;3;7;7;14.473, -90.88
1968-04-21;Philippines;Mayon;Luzon-Philippines;non;non;2462;Stratovolcano;Historical;3;6;6;13.257, 123.685
2001-10-20;Italy;Stromboli;Italy;non;non;926;Stratovolcano;Historical;2;1;1;38.789, 15.213
1357-01-01;Iceland;Katla;Iceland-S;non;non;1512;Subglacial volcano;Historical;4;;;63.63, -19.05
1586-01-01;Indonesia;Kelut;Java;non;non;1731;Stratovolcano;Historical;5;10000;10000;-7.93, 112.308
1893-05-19;Japan;Azuma;Honshu-Japan;non;non;2024;Stratovolcano;Historical;2;2;2;37.73, 140.25
1918-07-18;Indonesia;Banua Wuhu;Sangihe Is-Indonesia;oui;non;-5;Submarine volcano;Historical;3;;;3.138, 125.491
1970-05-05;Iceland;Hekla;Iceland-S;non;non;1491;Stratovolcano;Historical;3;;;63.98, -19.7
1977-04-27;Iceland;Krafla;Iceland-NE;non;non;650;Caldera;Historical;1;;;65.73, -16.78
2015-10-01;New Zealand;Okataina;New Zealand;non;non;1111;Lava dome;Historical;;1;1;-38.12, 176.5
1158-01-19;Iceland;Hekla;Iceland-S;non;non;1491;Stratovolcano;Historical;4;;;63.98, -19.7
1329-07-01;Italy;Etna;Italy;non;non;3350;Stratovolcano;Historical;1;;;37.734, 15.004
1646-07-19;Indonesia;Makian;Halmahera-Indonesia;non;non;1357;Stratovolcano;Historical;4;;;0.32, 127.4
1784-01-01;United States;Hualalai;Hawaiian Is;non;non;2523;Shield volcano;Historical;0;;;19.692, -155.87
1820-06-11;Pacific Ocean;Banda Api;Banda Sea;non;non;640;Caldera;Historical;2;;;-4.525, 129.871
1870-08-01;Indonesia;Ruang;Sangihe Is-Indonesia;non;non;725;Stratovolcano;Historical;2;;;2.28, 125.425
1897-03-26;Solomon Is.;Tinakula;Santa Cruz Is-SW Pac;oui;non;851;Stratovolcano;Historical;2;;;-10.38, 165.8
1902-05-07;St. Vincent & the Grenadines;Soufriere St. Vincent;W Indies;oui;non;1220;Stratovolcano;Historical;4;1680;1680;13.33, -61.18
1903-01-01;Comoros;Karthala;Indian O-W;non;non;2361;Shield volcano;Historical;;17;17;-11.75, 43.38
1932-10-01;Japan;Kusatsu-Shirane;Honshu-Japan;non;non;2176;Stratovolcano;Historical;3;2;2;36.62, 138.55
1951-01-01;Solomon Is.;Kavachi;Solomon Is-SW Pacifi;oui;non;-20;Submarine volcano;Historical;2;;;-9.02, 157.95
1991-10-24;Indonesia;Lokon-Empung;Sulawesi-Indonesia;non;non;1580;Stratovolcano;Historical;1;1;1;1.358, 124.792
2011-12-27;Indonesia;Gamalama;Halmahera-Indonesia;non;non;1715;Stratovolcano;Historical;3;4;4;0.8, 127.325
1385-01-01;Indonesia;Kelut;Java;non;non;1731;Stratovolcano;Historical;3;;;-7.93, 112.308
1766-07-20;Philippines;Mayon;Luzon-Philippines;non;non;2462;Stratovolcano;Historical;3;49;49;13.257, 123.685
1784-04-01;Iceland;Grimsvotn;Iceland-NE;non;non;1725;Caldera;Historical;4;;9350;64.42, -17.33
1890-01-01;Papua New Guinea;Victory;New Guinea;non;non;1925;Stratovolcano;Historical;2;;;-9.2, 149.07
1913-05-29;Japan;Asama;Honshu-Japan;non;non;2560;Complex volcano;Historical;1;1;1;36.4, 138.53
1932-01-21;Guatemala;Fuego;Guatemala;non;non;3763;Stratovolcano;Historical;4;;;14.473, -90.88
1967-12-04;Antarctica;Deception Island;Antarctica;oui;non;576;Caldera;Historical;3;;;-62.97, -60.65
1988-12-25;Chile;Lonquimay;Chile-C;non;non;2865;Stratovolcano;Historical;3;1;1;-38.377, -71.58
1993-03-12;Ecuador;Guagua Pichincha;Ecuador;non;non;4784;Stratovolcano;Historical;1;2;2;-0.171, -78.598
2008-08-22;Ecuador;Tungurahua;Ecuador;non;non;5023;Stratovolcano;Historical;3;2;2;-1.467, -78.442
2011-06-22;Eritrea;Nabro;Africa-NE;non;non;2218;Stratovolcano;Holocene;3;31;31;13.37, 41.7
2013-09-01;Peru;Ubinas;Peru;non;non;5672;Stratovolcano;Historical;;;;-16.355, -70.903
1593-01-01;Indonesia;Raung;Java;non;non;3332;Stratovolcano;Historical;5;;;-8.125, 114.042
1692-06-04;Pacific Ocean;Serua;Banda Sea;non;non;641;Stratovolcano;Historical;4;;;-6.3, 130.0
1883-12-01;Papua New Guinea;Bagana;Bougainville-SW Paci;non;non;1750;Lava cone;Historical;3;;;-6.14, 155.195
1928-01-23;Greece;Santorini;Greece;non;non;329;Shield volcano;Historical;2;48;48;36.404, 25.396
1963-03-18;Indonesia;Agung;Lesser Sunda Is;oui;non;3142;Stratovolcano;Historical;5;1028;1028;-8.342, 115.508
1965-09-28;Philippines;Taal;Luzon-Philippines;oui;non;400;Stratovolcano;Historical;4;355;355;14.002, 120.993
1973-01-27;Iceland;Vestmannaeyjar;Iceland-S;non;non;279;Submarine volcano;Historical;3;1;1;63.43, -20.28
1975-11-29;United States;Kilauea;Hawaiian Is;oui;oui;1222;Shield volcano;Historical;0;;2;19.425, -155.292
1982-05-27;Mexico;Chichon, El;Mexico;non;non;1150;Tuff cone;Historical;5;1;1;17.36, -93.228
1986-08-21;Cameroon;Oku Volc Field;Africa-W;non;non;3011;Maar;Radiocarbon;3;1700;1700;6.25, 10.5
1994-01-15;Vanuatu;Yasur;Vanuatu-SW Pacific;non;non;361;Stratovolcano;Historical;3;1;1;-19.52, 169.425
2004-06-08;Indonesia;Tengger Caldera;Java;non;non;2329;Stratovolcano;Historical;2;2;;-7.942, 112.95
2008-08-08;United States;Kasatochi;Aleutian Is;oui;non;314;Stratovolcano;Historical;3;;;52.18, -175.5
2017-12-18;Indonesia;Merapi;Java;non;non;2947;Stratovolcano;Historical;;8;8;-7.542, 110.442
1706-05-05;Spain;Tenerife;Canary Is;oui;non;3715;Stratovolcano;Historical;2;;;28.271, -16.641
1826-10-11;Indonesia;Dieng Volc Complex;Java;non;non;2565;Complex volcano;Historical;2;;;-7.2, 109.92
1832-11-01;Italy;Etna;Italy;non;non;3350;Stratovolcano;Historical;2;;;37.734, 15.004
1924-05-10;United States;Kilauea;Hawaiian Is;non;non;1222;Shield volcano;Historical;2;1;1;19.425, -155.292
1969-01-28;Indonesia;Iya;Lesser Sunda Is;non;non;637;Stratovolcano;Historical;3;2;2;-8.88, 121.63
1999-08-15;Russia;Shiveluch;Kamchatka;non;non;3283;Stratovolcano;Historical;4;;;56.653, 161.36
1580-01-01;Papua New Guinea;Billy Mitchell;Bougainville-SW Paci;non;non;1544;Pyroclastic shield;Radiocarbon;6;;;-6.092, 155.225
1698-01-01;Indonesia;Cereme;Java;non;non;3078;Stratovolcano;Historical;3;;;-6.892, 108.4
1901-08-09;Vanuatu;Epi;Vanuatu-SW Pacific;oui;oui;833;Stratovolcano;Historical;;;;-16.68, 168.37
1907-07-01;Tonga;Unnamed;Tonga-SW Pacific;oui;oui;-500;Submarine volcano;Historical;0;;;-21.38, -175.65
1946-02-01;Indonesia;Semeru;Java;non;non;3676;Stratovolcano;Historical;2;6;6;-8.108, 112.92
1961-08-18;Japan;Asama;Honshu-Japan;non;non;2560;Complex volcano;Historical;2;1;1;36.4, 138.53
1962-06-29;Japan;Tokachi;Hokkaido-Japan;non;non;2077;Stratovolcano;Historical;3;5;5;43.42, 142.68
2000-07-27;Indonesia;Semeru;Java;non;non;3676;Stratovolcano;Historical;3;2;2;-8.108, 112.92
1477-02-01;Iceland;Bardarbunga;Iceland-NE;non;non;2000;Stratovolcano;Historical;6;;;64.63, -17.53
1597-01-01;Indonesia;Raung;Java;non;non;3332;Stratovolcano;Historical;3;;;-8.125, 114.042
1815-04-10;Indonesia;Tambora;Lesser Sunda Is;oui;non;2850;Stratovolcano;Historical;7;11000;60000;-8.25, 118.0
1854-06-27;Russia;Alaid;Kuril Is;oui;non;2339;Stratovolcano;Historical;3;;;50.858, 155.55
1950-09-15;Philippines;Camiguin;Mindanao-Philippines;non;non;1332;Stratovolcano;Historical;3;68;68;9.203, 124.673
1950-09-23;Japan;Asama;Honshu-Japan;non;non;2560;Complex volcano;Historical;2;1;1;36.4, 138.53
1956-03-30;Russia;Bezymianny;Kamchatka;oui;non;2882;Stratovolcano;Historical;5;;;55.978, 160.587
1958-10-07;Vanuatu;Kuwae;Vanuatu-SW Pacific;oui;non;-2;Caldera;Historical;2;;;-16.829, 168.536
1967-08-31;Indonesia;Semeru;Java;non;non;3676;Stratovolcano;Historical;3;3;3;-8.108, 112.92
1988-05-09;Pacific Ocean;Banda Api;Banda Sea;non;non;640;Caldera;Historical;3;4;4;-4.525, 129.871
1993-06-13;Indonesia;Krakatau;Indonesia;non;non;813;Caldera;Historical;1;1;1;-6.102, 105.423
1997-12-26;Montserrat;Soufriere Hills;W Indies;oui;non;915;Stratovolcano;Historical;;;;16.72, -62.18
2007-03-01;Papua New Guinea;Manam;New Guinea-NE of;non;non;1807;Stratovolcano;Historical;4;4;4;-4.1, 145.061
2007-09-30;Yemen;Tair, Jebel at;Red Sea;non;non;244;Stratovolcano;Historical;;7;7;15.7, 41.742
2012-12-12;Russia;Tolbachik;Kamchatka;non;non;3682;Shield volcano;Historical;;;;55.83, 160.33
2018-04-28;United States;Kilauea;Hawaiian Is;oui;oui;1222;Shield volcano;Historical;1;;;19.425, -155.292
2020-05-29;Indonesia;Ijen;Java;oui;oui;2799;Stratovolcano;Historical;;1;1;-8.058, 114.242
1151-01-01;Iceland;Krisuvik;Iceland-SW;non;non;379;Crater rows;Historical;1;;;63.93, -22.1
1206-12-04;Iceland;Hekla;Iceland-S;non;non;1491;Stratovolcano;Historical;2;;;63.98, -19.7
1772-08-12;Indonesia;Papandayan;Java;non;non;2665;Stratovolcano;Historical;3;2957;2957;-7.32, 107.73
1781-04-11;Japan;Sakura-jima;Kyushu-Japan;oui;non;1117;Stratovolcano;Historical;4;23;38;31.58, 130.67
1826-10-01;Japan;Aso;Kyushu-Japan;non;non;1592;Caldera;Historical;2;;;32.88, 131.1
1840-05-30;United States;Kilauea;Hawaiian Is;oui;non;1222;Shield volcano;Historical;0;;;19.425, -155.292
1858-07-03;Japan;Tate-yama;Honshu-Japan;non;non;2621;Stratovolcano;Historical;;;;36.57, 137.6
1936-02-01;Japan;Asama;Honshu-Japan;non;non;2560;Complex volcano;Historical;3;2;2;36.4, 138.53
1951-01-21;Papua New Guinea;Lamington;New Guinea;non;non;1680;Stratovolcano;Historical;4;2942;2942;-8.95, 148.15
1985-12-19;Italy;Etna;Italy;non;non;3350;Stratovolcano;Historical;1;1;1;37.734, 15.004
1997-09-02;Indonesia;Semeru;Java;non;non;3676;Stratovolcano;Historical;3;2;2;-8.108, 112.92
1631-12-16;Italy;Vesuvius;Italy;oui;oui;1281;Complex volcano;Historical;5;4000;4000;40.821, 14.426
1914-01-12;Japan;Sakura-jima;Kyushu-Japan;oui;oui;1117;Stratovolcano;Historical;4;28;63;31.58, 130.67
1919-05-22;Italy;Stromboli;Italy;oui;non;926;Stratovolcano;Historical;3;4;4;38.789, 15.213
1927-09-05;Iceland;Esjufjoll;Iceland-SE;non;non;1760;Stratovolcano;Historical;1;1;1;64.27, -16.65
1944-03-27;Italy;Vesuvius;Italy;non;non;1281;Complex volcano;Historical;2;27;27;40.821, 14.426
1949-06-01;Philippines;Camiguin;Mindanao-Philippines;non;non;1332;Stratovolcano;Historical;3;2;2;9.203, 124.673
1972-10-02;Japan;Hakone;Honshu-Japan;non;non;1438;Complex volcano;Radiocarbon;;2;2;35.22, 139.02
2002-01-01;Indonesia;Semeru;Java;non;non;3676;Stratovolcano;Historical;3;3;3;-8.108, 112.92
1580-05-01;Portugal;San Jorge;Azores;non;non;1053;Fissure vent;Historical;3;10;10;38.65, -28.08
1801-07-01;Japan;Chokai;Honshu-Japan;non;non;2237;Stratovolcano;Historical;2;8;8;39.08, 140.03
1804-01-01;Japan;Shikotsu;Hokkaido-Japan;non;non;1320;Caldera;Historical;3;;;42.7, 141.33
1952-03-27;Japan;Hakone;Honshu-Japan;non;non;1438;Complex volcano;Radiocarbon;;1;1;35.22, 139.02
1963-03-17;Costa Rica;Irazu;Costa Rica;non;non;3432;Stratovolcano;Historical;3;15;15;9.979, -83.852
2016-05-21;Indonesia;Sinabung;Sumatra;non;non;2460;Stratovolcano;Holocene;;7;7;3.17, 98.392
2019-07-03;Italy;Stromboli;Italy;non;non;926;Stratovolcano;Historical;2;1;1;38.789, 15.213
1566-10-31;Japan;Kirishima;Kyushu-Japan;non;non;1700;Shield volcano;Historical;3;;;31.93, 130.87
1597-01-03;Iceland;Hekla;Iceland-S;non;non;1491;Stratovolcano;Historical;4;;;63.98, -19.7
1672-08-04;Indonesia;Merapi;Java;non;non;2947;Stratovolcano;Historical;3;3000;3000;-7.542, 110.442
1753-10-15;Iceland;Grimsvotn;Iceland-NE;non;non;1725;Caldera;Historical;2;;;64.42, -17.33
1841-04-01;Japan;Kuchinoerabu-jima;Ryukyu Is;non;non;649;Stratovolcano;Historical;2;;;30.43, 130.22
1843-02-08;St. Kitts & Nevis;Liamuiga;W Indies;oui;non;1156;Stratovolcano;Radiocarbon;0;;;17.37, -62.8
1937-05-29;Papua New Guinea;Rabaul;New Britain-SW Pac;oui;oui;688;Pyroclastic shield;Historical;4;507;507;-4.271, 152.203
1953-06-27;Papua New Guinea;St. Andrew Strait;Admiralty Is-SW Paci;oui;non;270;Complex volcano;Historical;0;;;-2.38, 147.35
1977-08-02;Russia;Kliuchevskoi;Kamchatka;non;non;4835;Stratovolcano;Historical;3;1;1;56.057, 160.638
1981-06-30;Philippines;Mayon;Luzon-Philippines;non;non;2462;Stratovolcano;Historical;;200;200;13.257, 123.685
1992-05-11;Indonesia;Karangetang [Api Siau];Sangihe Is-Indonesia;non;non;1784;Stratovolcano;Historical;1;6;6;2.78, 125.48
1994-09-19;Papua New Guinea;Rabaul;New Britain-SW Pac;oui;non;688;Pyroclastic shield;Historical;3;4;4;-4.271, 152.203
1997-01-14;Indonesia;Merapi;Java;non;non;2947;Stratovolcano;Historical;2;6;6;-7.542, 110.442
2015-07-31;Papua New Guinea;Manam;New Guinea-NE of;non;non;1807;Stratovolcano;Historical;2;;;-4.1, 145.061
1900-07-17;Japan;Adatara;Honshu-Japan;non;non;1718;Stratovolcano;Historical;2;72;72;37.62, 140.28
1913-03-14;Indonesia;Awu;Sangihe Is-Indonesia;oui;oui;1320;Stratovolcano;Historical;2;;138;3.67, 125.5
1938-01-28;Congo, DRC;Nyamuragira;Africa-C;oui;non;3058;Shield volcano;Historical;1;;;-1.408, 29.2
1958-07-12;Indonesia;Mahawu;Sulawesi-Indonesia;non;non;1324;Stratovolcano;Historical;2;1;1;1.358, 124.858
1964-01-01;Indonesia;Paluweh;Lesser Sunda Is;non;non;875;Stratovolcano;Historical;2;1;1;-8.32, 121.708
2000-08-23;Costa Rica;Arenal;Costa Rica;non;non;1657;Stratovolcano;Historical;3;2;2;10.463, -84.703
2011-07-17;Indonesia;Lokon-Empung;Sulawesi-Indonesia;non;non;1580;Stratovolcano;Historical;;1;1;1.358, 124.792
2018-07-16;United States;Kilauea;Hawaiian Is;non;non;1222;Shield volcano;Historical;;;;19.425, -155.292
1570-01-01;Nicaragua;Mombacho;Nicaragua;non;non;1344;Stratovolcano;Holocene;;400;400;11.826, -85.968
1872-04-24;Italy;Vesuvius;Italy;non;non;1281;Complex volcano;Historical;3;9;9;40.821, 14.426
1878-08-29;United States;Okmok;Aleutian Is;oui;oui;1073;Shield volcano;Historical;2;;;53.42, -168.13
1963-12-10;Costa Rica;Irazu;Costa Rica;non;non;3432;Stratovolcano;Historical;3;40;40;9.979, -83.852
1971-09-14;Guatemala;Fuego;Guatemala;non;non;3763;Stratovolcano;Historical;3;10;10;14.473, -90.88
1997-07-12;Japan;Hakkoda Group;Honshu-Japan;non;non;1585;Stratovolcano;Holocene;;3;3;40.65, 140.88
2004-01-29;Indonesia;Egon;Lesser Sunda Is;non;non;1703;Stratovolcano;Historical;1;1;1;-8.67, 122.45
2013-02-01;Indonesia;Paluweh;Lesser Sunda Is;non;non;875;Stratovolcano;Historical;;;;-8.32, 121.708
1587-01-01;Indonesia;Merapi;Java;non;non;2947;Stratovolcano;Historical;4;;;-7.542, 110.442
1775-01-01;Indonesia;Lokon-Empung;Sulawesi-Indonesia;non;non;1580;Stratovolcano;Historical;3;;;1.358, 124.792
1874-07-19;Philippines;Taal;Luzon-Philippines;non;non;400;Stratovolcano;Historical;2;;;14.002, 120.993
1952-09-23;Japan;Myojun Knoll;Izu Is-Japan;oui;non;360;Submarine volcano;Holocene;2;;;32.1, 139.85
1961-01-25;Chile;Calbuco;Chile-S;non;non;2003;Stratovolcano;Historical;3;;;-41.326, -72.614
1986-07-24;Italy;Stromboli;Italy;non;non;926;Stratovolcano;Historical;2;1;1;38.789, 15.213
1996-04-30;Mexico;Popocatepetl;Mexico;non;non;5426;Stratovolcano;Historical;3;5;5;19.023, -98.622
2016-06-09;United States;Yellowstone;US-Wyoming;non;non;2805;Caldera;Tephrochronology;;1;1;44.43, -110.67
1730-01-01;Indonesia;Raung;Java;non;non;3332;Stratovolcano;Historical;3;;;-8.125, 114.042
1749-08-11;Philippines;Taal;Luzon-Philippines;oui;oui;400;Stratovolcano;Historical;3;;;14.002, 120.993
1848-05-16;Indonesia;Kelut;Java;non;non;1731;Stratovolcano;Historical;2;21;21;-7.93, 112.308
1861-05-07;Eritrea;Dubbi;Africa-NE;non;oui;1625;Stratovolcano;Historical;3;106;106;13.58, 41.808
1892-08-30;Tonga;Tofua;Tonga-SW Pacific;oui;non;512;Caldera;Historical;2;;;-19.75, -175.07
1902-05-05;Martinique;Pelee;W Indies;oui;non;1397;Stratovolcano;Historical;;23;23;14.82, -61.17
1912-12-03;Congo, DRC;Nyamuragira;Africa-C;non;non;3058;Shield volcano;Historical;3;20;20;-1.408, 29.2
1923-03-02;Vietnam;Cendres, Ile des;SE Asia;oui;oui;-20;Submarine volcanoes;Historical;2;;;10.158, 109.014
1980-12-25;United States;Hood;US-Oregon;non;non;3426;Stratovolcano;Historical;;1;1;45.374, -121.694
1994-05-29;Japan;Aso;Kyushu-Japan;non;non;1592;Caldera;Historical;1;1;1;32.88, 131.1
2011-02-23;Philippines;Bulusan;Luzon-Philippines;non;non;1565;Stratovolcano;Historical;2;1;1;12.77, 124.05
2014-02-13;Indonesia;Kelut;Java;non;non;1731;Stratovolcano;Historical;;7;7;-7.93, 112.308
1376-01-01;Indonesia;Kelut;Java;non;non;1731;Stratovolcano;Historical;3;;;-7.93, 112.308
1664-04-15;Japan;Unzen;Kyushu-Japan;non;non;1500;Complex volcano;Historical;2;30;30;32.75, 130.3
1840-02-02;Indonesia;Gamalama;Halmahera-Indonesia;oui;non;1715;Stratovolcano;Historical;2;;;0.8, 127.325
1911-11-03;Trinidad;Piparo;Trinidad;oui;non;140;Mud volcano;Historical;;;;10.0, -61.0
1916-07-03;Italy;Stromboli;Italy;oui;non;926;Stratovolcano;Historical;3;;;38.789, 15.213
1944-08-26;Japan;Usu;Hokkaido-Japan;non;non;731;Stratovolcano;Historical;2;1;1;42.53, 140.83
1971-08-12;Chile;Hudson, Cerro;Chile-S;non;non;1905;Stratovolcano;Historical;3;5;3;-45.9, -72.97
1973-12-05;Indonesia;Iliwerung;Lesser Sunda Is;non;non;1018;Complex volcano;Historical;2;2;2;-8.54, 123.59
1979-03-08;Papua New Guinea;Karkar;New Guinea-NE of;non;non;1839;Stratovolcano;Historical;2;2;2;-4.649, 145.964
1982-03-29;Mexico;Chichon, El;Mexico;non;oui;1150;Tuff cone;Historical;5;1879;1879;17.36, -93.228
2014-09-27;Japan;On-take;Honshu-Japan;non;non;3063;Complex volcano;Historical;3;55;55;35.9, 137.48
2018-08-25;Papua New Guinea;Manam;New Guinea-NE of;non;non;1807;Stratovolcano;Historical;4;;;-4.1, 145.061
1911-08-15;Japan;Asama;Honshu-Japan;non;non;2560;Complex volcano;Historical;2;;;36.4, 138.53
1944-06-10;United States;Cleveland;Aleutian Is;non;non;1730;Stratovolcano;Historical;3;1;1;52.82, -169.95
1972-10-09;Papua New Guinea;Ritter Island;New Guinea-NE of;oui;non;140;Stratovolcano;Historical;1;;;-5.52, 148.121
1983-10-03;Japan;Miyake-jima;Izu Is-Japan;non;oui;815;Stratovolcano;Historical;3;;;34.08, 139.53
1984-10-16;Italy;Etna;Italy;non;non;3350;Stratovolcano;Historical;3;1;1;37.734, 15.004
1990-10-19;Japan;Aso;Kyushu-Japan;non;non;1592;Caldera;Historical;2;1;1;32.88, 131.1
1311-01-01;Indonesia;Kelut;Java;non;non;1731;Stratovolcano;Historical;3;;;-7.93, 112.308
1800-01-01;Tanzania;Kieyo;Africa-E;non;non;2175;Stratovolcano;Historical;2;;;-9.23, 33.78
1923-06-01;Indonesia;Tangkubanparahu;Java;non;non;2084;Stratovolcano;Historical;;3;3;-6.77, 107.6
1939-07-24;Netherlands;Kick-'em-Jenny;W Indies;oui;non;-177;Submarine volcano;Historical;1;;;12.3, -61.63
1971-10-29;Chile;Villarrica;Chile-C;non;non;2847;Stratovolcano;Historical;2;15;15;-39.42, -71.93
1918-10-12;Iceland;Katla;Iceland-S;non;non;1512;Subglacial volcano;Historical;4;;;63.63, -19.05
1994-11-22;Indonesia;Merapi;Java;non;non;2947;Stratovolcano;Historical;3;60;60;-7.542, 110.442
1766-04-05;Iceland;Hekla;Iceland-S;non;non;1491;Stratovolcano;Historical;4;;;63.98, -19.7
1790-11-01;United States;Kilauea;Hawaiian Is;non;non;1222;Shield volcano;Historical;4;5405;5405;19.425, -155.292
1803-07-04;Japan;Asama;Honshu-Japan;non;non;2560;Complex volcano;Historical;2;;;36.4, 138.53
1869-08-01;Indonesia;Lamongan;Java;non;non;1651;Stratovolcano;Historical;2;8;8;-8.0, 113.342
1883-10-10;Indonesia;Krakatau;Indonesia;oui;non;813;Caldera;Historical;;;;-6.102, 105.423
1900-01-22;Japan;Asama;Honshu-Japan;non;non;2560;Complex volcano;Historical;2;25;25;36.4, 138.53
1928-08-04;Indonesia;Paluweh;Lesser Sunda Is;oui;non;875;Stratovolcano;Historical;3;98;226;-8.32, 121.708
