Eruption date;Country;Volcano Name;Location;Tsunami;Earthquake;Elevation;Volcano Type;Status;Volcanic Explosivity Index;Volcano : Deaths;Total Effects : Deaths;Coordinates
1717-08-27;Guatemala;Fuego;Guatemala;non;non;3763;Stratovolcano;Historical;3;;;14.473, -90.88
1845-02-19;Colombia;Ruiz;Colombia;non;non;5321;Stratovolcano;Historical;3;1000;1000;4.895, -75.322
1928-03-28;Indonesia;Krakatau;Indonesia;oui;non;813;Caldera;Historical;;;;-6.102, 105.423
1940-07-24;Tanzania;Lengai, Ol Doinyo;Africa-E;non;non;2890;Stratovolcano;Historical;2;;;-2.751, 35.902
1969-03-21;Philippines;Didicas;Luzon-N of;oui;non;244;Compound volcano;Historical;2;;3;19.077, 122.202
1673-05-20;Indonesia;Gamkonora;Halmahera-Indonesia;oui;non;1635;Stratovolcano;Historical;5;;;1.375, 127.52
1792-05-21;Japan;Unzen;Kyushu-Japan;oui;oui;1500;Complex volcano;Historical;2;;15000;32.75, 130.3
1818-02-05;Mexico;Colima;Mexico;non;non;3850;Stratovolcano;Historical;4;;;19.514, -103.62
1863-08-17;Vanuatu;Yasur;Vanuatu-SW Pacific;oui;oui;361;Stratovolcano;Historical;;;;-19.52, 169.425
1884-02-01;Indonesia;Krakatau;Indonesia;oui;non;813;Caldera;Historical;;;;-6.102, 105.423
1888-03-13;Papua New Guinea;Ritter Island;New Guinea-NE of;oui;non;140;Stratovolcano;Historical;3;;;-5.52, 148.121
1888-07-15;Japan;Bandai;Honshu-Japan;non;non;1819;Stratovolcano;Historical;4;461;461;37.6, 140.08
1979-02-20;Indonesia;Dieng Volc Complex;Java;non;non;2565;Complex volcano;Historical;1;149;149;-7.2, 109.92
2006-06-07;Philippines;Bulusan;Luzon-Philippines;non;non;1565;Stratovolcano;Historical;2;1;1;12.77, 124.05
1104-10-15;Iceland;Hekla;Iceland-S;non;non;1491;Stratovolcano;Historical;5;;;63.98, -19.7
1329-06-28;Italy;Etna;Italy;oui;oui;3350;Stratovolcano;Historical;3;;;37.734, 15.004
1485-01-01;Japan;Aso;Kyushu-Japan;non;non;1592;Caldera;Historical;2;1;1;32.88, 131.1
1598-05-13;Japan;Asama;Honshu-Japan;non;non;2560;Complex volcano;Historical;2;800;800;36.4, 138.53
1840-01-01;Solomon Is.;Savo;Solomon Is-SW Pacifi;non;non;510;Stratovolcano;Historical;3;;;-9.13, 159.82
1883-03-01;Comoros;Karthala;Indian O-W;non;non;2361;Shield volcano;Historical;2;;;-11.75, 43.38
1890-06-29;Indonesia;Makian;Halmahera-Indonesia;non;non;1357;Stratovolcano;Historical;2;;;0.32, 127.4
1902-08-30;Martinique;Pelee;W Indies;oui;non;1397;Stratovolcano;Historical;4;1500;1500;14.82, -61.17
1970-03-02;Italy;Campi Flegrei;Italy;non;non;458;Caldera;Historical;;3;3;40.827, 14.139
1981-05-14;Indonesia;Semeru;Java;non;non;3676;Stratovolcano;Historical;3;372;372;-8.108, 112.92
1990-11-21;Congo, DRC;Nyiragongo;Africa-C;non;non;3470;Stratovolcano;Historical;;1;1;-1.52, 29.25
1999-01-20;Montserrat;Soufriere Hills;W Indies;oui;non;915;Stratovolcano;Historical;3;;;16.72, -62.18
1812-04-27;St. Vincent & the Grenadines;Soufriere St. Vincent;W Indies;non;non;1220;Stratovolcano;Historical;4;56;56;13.33, -61.18
1827-08-09;Russia;Avachinsky;Kamchatka;non;non;2741;Stratovolcano;Historical;2;;;53.255, 158.83
1846-05-27;Indonesia;Tangkubanparahu;Java;non;non;2084;Stratovolcano;Historical;2;;;-6.77, 107.6
1856-09-25;Japan;Komaga-take;Hokkaido-Japan;non;non;1140;Stratovolcano;Historical;4;20;20;42.07, 140.68
1883-10-06;United States;Augustine;Alaska-SW;oui;non;1252;Lava dome;Historical;4;8;8;59.37, -153.42
1953-03-25;Japan;Myojun Knoll;Izu Is-Japan;oui;non;360;Submarine volcano;Holocene;2;;;32.1, 139.85
1968-07-29;Costa Rica;Arenal;Costa Rica;non;non;1657;Stratovolcano;Historical;3;80;80;10.463, -84.703
1981-04-27;Russia;Alaid;Kuril Is;non;non;2339;Stratovolcano;Historical;2;;;50.858, 155.55
1990-11-25;Indonesia;Kelut;Java;non;non;1731;Stratovolcano;Historical;;4;4;-7.93, 112.308
1820-03-01;United States;Westdahl;Aleutian Is;oui;oui;1654;Stratovolcano;Historical;2;;;54.52, -164.65
1845-09-02;Iceland;Hekla;Iceland-S;non;non;1491;Stratovolcano;Historical;4;;;63.98, -19.7
1953-04-27;Japan;Aso;Kyushu-Japan;non;non;1592;Caldera;Historical;2;6;6;32.88, 131.1
1986-10-15;Indonesia;Merapi;Java;non;non;2947;Stratovolcano;Historical;2;1;1;-7.542, 110.442
1990-06-24;Papua New Guinea;Rabaul;New Britain-SW Pac;non;non;688;Pyroclastic shield;Historical;;6;6;-4.271, 152.203
1993-10-04;Philippines;Pinatubo;Luzon-Philippines;non;non;1486;Stratovolcano;Historical;;14;14;15.13, 120.35
2009-03-23;United States;Redoubt;Alaska-SW;non;non;3108;Stratovolcano;Historical;;;;60.48, -152.75
1169-02-04;Italy;Etna;Italy;oui;oui;3350;Stratovolcano;Historical;;;16000;37.734, 15.004
1660-11-03;Iceland;Katla;Iceland-S;non;non;1512;Subglacial volcano;Historical;4;;;63.63, -19.05
1679-09-21;Yemen;Zukur;Red Sea;non;oui;624;Shield volcano;Holocene;;;;14.02, 42.75
1741-08-23;Japan;Oshima-Oshima;Hokkaido-Japan;oui;non;737;Stratovolcano;Historical;4;;2000;41.5, 139.37
1817-01-01;Indonesia;Raung;Java;non;non;3332;Stratovolcano;Historical;4;;;-8.125, 114.042
1899-01-01;Papua New Guinea;Manam;New Guinea-NE of;non;non;1807;Stratovolcano;Historical;2;2;2;-4.1, 145.061
1900-02-16;Japan;Kirishima;Kyushu-Japan;non;non;1700;Shield volcano;Historical;2;2;2;31.93, 130.87
1946-01-01;Japan;Sakura-jima;Kyushu-Japan;non;non;1117;Stratovolcano;Historical;2;1;1;31.58, 130.67
2005-01-27;Papua New Guinea;Manam;New Guinea-NE of;non;non;1807;Stratovolcano;Historical;4;1;1;-4.1, 145.061
2006-03-17;New Zealand;Raoul Island;Kermadec Is;non;non;516;Stratovolcano;Historical;;1;1;-29.27, -177.92
2014-11-23;Cape Verde;Fogo;Cape Verde Is;non;non;2829;Stratovolcano;Historical;;;;14.95, -24.35
1000-01-01;North Korea;Changbaishan;China-E;non;non;2744;Stratovolcano;Historical;7;;;41.98, 128.08
1727-08-03;Iceland;Oraefajokull;Iceland-SE;non;non;2119;Stratovolcano;Historical;4;3;3;64.0, -16.65
1868-04-03;United States;Mauna Loa;Hawaiian Is;oui;oui;4170;Shield volcano;Historical;2;;77;19.475, -155.608
1869-07-07;Indonesia;Lewotobi;Lesser Sunda Is;non;non;1703;Stratovolcano;Historical;2;2;2;-8.53, 122.775
1900-01-01;Ethiopia;Tullu Moje;Africa-NE;non;non;2349;Pumice cone;Anthropology;;;;8.158, 39.13
1902-12-01;Indonesia;Merapi;Java;non;non;2947;Stratovolcano;Historical;2;16;16;-7.542, 110.442
1907-09-28;Indonesia;Lewotobi;Lesser Sunda Is;non;non;1703;Stratovolcano;Historical;2;1;1;-8.53, 122.775
1938-06-05;Philippines;Mayon;Luzon-Philippines;non;non;2462;Stratovolcano;Historical;2;;;13.257, 123.685
1961-04-23;Japan;Tate-yama;Honshu-Japan;non;non;2621;Stratovolcano;Historical;;1;1;36.57, 137.6
1995-09-06;Philippines;Parker;Mindanao-Philippines;non;non;1824;Stratovolcano;Historical;;60;60;6.12, 124.892
2010-05-27;Guatemala;Pacaya;Guatemala;non;non;2552;Complex volcano;Historical;1;1;1;14.381, -90.601
2013-02-12;Indonesia;Merapi;Java;non;non;2947;Stratovolcano;Historical;;1;1;-7.542, 110.442
1949-05-26;Colombia;Purace;Colombia;non;non;4650;Stratovolcano;Historical;2;17;17;2.32, -76.4
1992-04-10;Nicaragua;Negro, Cerro;Nicaragua;non;non;728;Cinder cone;Historical;3;11;11;12.506, -86.702
1997-09-15;Japan;Adatara;Honshu-Japan;non;non;1718;Stratovolcano;Historical;;4;4;37.62, 140.28
1997-11-23;Japan;Aso;Kyushu-Japan;non;non;1592;Caldera;Historical;;2;2;32.88, 131.1
1772-05-09;Indonesia;Gamalama;Halmahera-Indonesia;oui;non;1715;Stratovolcano;Historical;3;35;35;0.8, 127.325
1840-07-02;Turkey;Ararat;Turkey;non;non;5165;Stratovolcano;Holocene;3;1900;1900;39.7, 44.28
1871-12-08;Philippines;Mayon;Luzon-Philippines;non;non;2462;Stratovolcano;Historical;3;3;3;13.257, 123.685
1883-08-27;Indonesia;Krakatau;Indonesia;oui;non;813;Caldera;Historical;6;2000;36417;-6.102, 105.423
1885-04-18;Indonesia;Semeru;Java;non;non;3676;Stratovolcano;Historical;2;74;74;-8.108, 112.92
1919-09-29;United States;Mauna Loa;Hawaiian Is;oui;non;4170;Shield volcano;Historical;0;;;19.475, -155.608
1978-09-19;Indonesia;Semeru;Java;non;non;3676;Stratovolcano;Historical;3;12;12;-8.108, 112.92
1987-12-01;Indonesia;Sirung;Lesser Sunda Is;non;oui;862;Complex volcano;Historical;;;125;-8.51, 124.148
2006-07-18;Ecuador;Tungurahua;Ecuador;non;non;5023;Stratovolcano;Historical;3;1;1;-1.467, -78.442
1536-03-23;Italy;Etna;Italy;non;non;3350;Stratovolcano;Historical;3;1;1;37.734, 15.004
1690-02-03;Italy;Vesuvius;Italy;oui;non;1281;Complex volcano;Historical;;;;40.821, 14.426
1726-02-01;Iceland;Bardarbunga;Iceland-NE;non;non;2000;Stratovolcano;Historical;1;;;64.63, -17.53
1742-06-15;Ecuador;Cotopaxi;Ecuador;non;non;5911;Stratovolcano;Historical;3;;;-0.677, -78.436
1897-05-23;Philippines;Mayon;Luzon-Philippines;non;non;2462;Stratovolcano;Historical;3;350;350;13.257, 123.685
1919-02-19;Mexico;Popocatepetl;Mexico;non;non;5426;Stratovolcano;Historical;1;;;19.023, -98.622
1919-04-03;Indonesia;Banua Wuhu;Sangihe Is-Indonesia;oui;non;-5;Submarine volcano;Historical;;;;3.138, 125.491
1929-08-02;Italy;Etna;Italy;non;non;3350;Stratovolcano;Historical;2;2;2;37.734, 15.004
1939-08-17;Japan;Tori-shima;Izu Is-Japan;non;non;403;Stratovolcano;Historical;2;2;2;30.48, 140.32
1940-06-20;Indonesia;Karangetang [Api Siau];Sangihe Is-Indonesia;non;non;1784;Stratovolcano;Historical;2;1;1;2.78, 125.48
1957-08-01;Japan;Oshima;Izu Is-Japan;non;non;758;Stratovolcano;Historical;2;1;1;34.73, 139.38
1538-09-29;Italy;Campi Flegrei;Italy;non;non;458;Caldera;Historical;3;24;24;40.827, 14.139
1800-10-30;Philippines;Mayon;Luzon-Philippines;non;non;2462;Stratovolcano;Historical;2;;;13.257, 123.685
1822-03-09;Japan;Usu;Hokkaido-Japan;non;non;731;Stratovolcano;Historical;4;50;50;42.53, 140.83
1953-12-24;New Zealand;Ruapehu;New Zealand;non;non;2797;Stratovolcano;Historical;;151;151;-39.28, 175.57
2008-11-20;Colombia;Huila;Colombia;non;non;5365;Stratovolcano;Historical;;10;10;2.92, -76.05
2011-06-04;Chile;Puyehue;Chile-C;non;non;2236;Stratovolcano;Holocene;4;;;-40.59, -72.117
1331-12-01;Japan;Aso;Kyushu-Japan;non;non;1592;Caldera;Historical;2;;;32.88, 131.1
1714-06-30;Italy;Vesuvius;Italy;oui;non;1281;Complex volcano;Historical;;;;40.821, 14.426
1952-09-16;Japan;Myojun Knoll;Izu Is-Japan;oui;non;360;Submarine volcano;Holocene;2;;;32.1, 139.85
1979-04-13;St. Vincent & the Grenadines;Soufriere St. Vincent;W Indies;non;non;1220;Stratovolcano;Historical;3;2;2;13.33, -61.18
1991-12-14;Italy;Etna;Italy;non;non;3350;Stratovolcano;Historical;2;;;37.734, 15.004
1994-02-03;Indonesia;Semeru;Java;non;non;3676;Stratovolcano;Historical;3;6;6;-8.108, 112.92
2018-03-30;Vanuatu;Aoba;Vanuatu-SW Pacific;non;non;1496;Shield volcano;Historical;3;4;4;-15.4, 167.83
1410-03-05;Japan;Nasu;Honshu-Japan;non;non;1917;Stratovolcano;Historical;3;180;180;37.12, 139.97
1803-11-07;Japan;Asama;Honshu-Japan;non;non;2560;Complex volcano;Historical;2;;;36.4, 138.53
1911-05-08;Japan;Asama;Honshu-Japan;non;non;2560;Complex volcano;Historical;2;1;1;36.4, 138.53
1917-06-07;El Salvador;San Salvador;El Salvador;non;oui;1893;Stratovolcano;Historical;3;325;325;13.736, -89.286
1923-07-01;Japan;Kirishima;Kyushu-Japan;non;non;1700;Shield volcano;Historical;2;1;1;31.93, 130.87
1929-11-02;Guatemala;Santa Maria;Guatemala;non;non;3772;Stratovolcano;Historical;3;200;200;14.756, -91.552
1966-08-12;Indonesia;Awu;Sangihe Is-Indonesia;non;non;1320;Stratovolcano;Historical;4;39;39;3.67, 125.5
1974-07-28;Japan;Niigata-Yake-yama;Honshu-Japan;non;non;2400;Lava dome;Historical;2;3;3;36.92, 138.03
1977-04-05;Comoros;Karthala;Indian O-W;non;non;2361;Shield volcano;Historical;0;;;-11.75, 43.38
1982-04-04;Mexico;Chichon, El;Mexico;non;non;1150;Tuff cone;Historical;5;33;33;17.36, -93.228
1986-05-08;Japan;Akita-Yake-yama;Honshu-Japan;non;non;1366;Complex volcano;Historical;;1;1;39.97, 140.77
1872-11-03;Indonesia;Merapi;Java;non;non;2947;Stratovolcano;Historical;4;200;200;-7.542, 110.442
1952-09-26;Japan;Myojun Knoll;Izu Is-Japan;oui;non;360;Submarine volcano;Holocene;2;;;32.1, 139.85
1955-07-26;Chile;Carran-Los Venados;Chile-C;non;non;1114;Pyroclastic cone;Historical;4;2;2;-40.35, -72.07
1961-05-08;Indonesia;Merapi;Java;non;non;2947;Stratovolcano;Historical;3;6;6;-7.542, 110.442
1991-07-03;Comoros;Karthala;Indian O-W;non;non;2361;Shield volcano;Historical;2;;;-11.75, 43.38
1995-02-11;Japan;Yake-dake;Honshu-Japan;non;non;2455;Stratovolcano;Historical;1;4;4;36.22, 137.58
1825-03-21;United States;Shishaldin;Aleutian Is;non;non;2857;Stratovolcano;Historical;3;;;54.75, -163.97
1914-09-10;New Zealand;White Island;New Zealand;non;non;321;Stratovolcano;Historical;;11;11;-37.52, 177.18
1952-09-24;Japan;Myojun Knoll;Izu Is-Japan;oui;non;360;Submarine volcano;Holocene;2;31;31;32.1, 139.85
1953-06-01;Indonesia;Sirung;Lesser Sunda Is;non;non;862;Complex volcano;Historical;0;5;5;-8.51, 124.148
1963-05-21;Chile;Villarrica;Chile-C;non;non;2847;Stratovolcano;Historical;2;;;-39.42, -71.93
1976-11-25;Indonesia;Merapi;Java;non;non;2947;Stratovolcano;Historical;2;29;29;-7.542, 110.442
1990-07-19;Guatemala;Santa Maria;Guatemala;non;non;3772;Stratovolcano;Historical;3;4;4;14.756, -91.552
2006-06-14;Indonesia;Merapi;Java;non;non;2947;Stratovolcano;Historical;1;2;2;-7.542, 110.442
2010-03-31;Iceland;Eyjafjallajokull;Iceland-S;non;non;1666;Stratovolcano;Historical;2;2;2;63.63, -19.62
2010-11-01;Ecuador;Tungurahua;Ecuador;non;non;5023;Stratovolcano;Historical;3;;;-1.467, -78.442
2015-02-20;Indonesia;Sinabung;Sumatra;non;non;2460;Stratovolcano;Holocene;;;;3.17, 98.392
1640-07-31;Japan;Komaga-take;Hokkaido-Japan;oui;oui;1140;Stratovolcano;Historical;5;;700;42.07, 140.68
1785-04-18;Japan;Aoga-shima;Izu Is-Japan;non;non;423;Stratovolcano;Historical;3;135;135;32.45, 139.77
1812-08-06;Indonesia;Awu;Sangihe Is-Indonesia;non;non;1320;Stratovolcano;Historical;3;953;953;3.67, 125.5
1941-07-13;Japan;Asama;Honshu-Japan;non;non;2560;Complex volcano;Historical;2;1;1;36.4, 138.53
1944-12-04;Indonesia;Dieng Volc Complex;Java;non;non;2565;Complex volcano;Historical;2;117;117;-7.2, 109.92
1953-10-05;Japan;Oshima;Izu Is-Japan;non;non;758;Stratovolcano;Historical;1;1;1;34.73, 139.38
1991-06-15;Philippines;Pinatubo;Luzon-Philippines;non;oui;1486;Stratovolcano;Historical;6;350;800;15.13, 120.35
1996-12-03;Papua New Guinea;Manam;New Guinea-NE of;non;non;1807;Stratovolcano;Historical;3;13;13;-4.1, 145.061
2000-11-03;United States;Kilauea;Hawaiian Is;non;non;1222;Shield volcano;Historical;;2;2;19.425, -155.292
2006-05-20;Montserrat;Soufriere Hills;W Indies;oui;non;915;Stratovolcano;Historical;2;;;16.72, -62.18
2015-04-22;Chile;Calbuco;Chile-S;non;non;2003;Stratovolcano;Historical;;;;-41.326, -72.614
2018-01-05;Papua New Guinea;Kadovar;New Guinea-NE of;non;non;365;Stratovolcano;Holocene;;;;-3.62, 144.62
1778-01-01;Russia;Raikoke;Kuril Is;non;non;551;Stratovolcano;Historical;4;15;15;48.292, 153.25
1805-08-11;Italy;Vesuvius;Italy;non;non;1281;Complex volcano;Historical;2;4;4;40.821, 14.426
1829-01-01;Indonesia;Guntur;Java;non;non;2249;Complex volcano;Historical;2;;;-7.13, 107.83
1951-12-04;Philippines;Camiguin;Mindanao-Philippines;non;non;1332;Stratovolcano;Historical;3;500;500;9.203, 124.673
1957-07-01;Japan;Unzen;Kyushu-Japan;non;non;1500;Complex volcano;Historical;;13;13;32.75, 130.3
1993-01-21;Indonesia;Wurlali;Banda Sea;non;non;868;Stratovolcano;Historical;;1;1;-7.125, 128.675
2017-03-15;Italy;Etna;Italy;non;non;3350;Stratovolcano;Historical;;;;37.734, 15.004
2017-07-01;Indonesia;Dieng Volc Complex;Java;non;non;2565;Complex volcano;Historical;;8;8;-7.2, 109.92
1177-01-01;Iceland;Katla;Iceland-S;non;non;1512;Subglacial volcano;Historical;3;;;63.63, -19.05
1595-03-12;Colombia;Ruiz;Colombia;non;non;5321;Stratovolcano;Historical;4;636;636;4.895, -75.322
1598-01-01;Pacific Ocean;Banda Api;Banda Sea;non;non;640;Caldera;Historical;3;;;-4.525, 129.871
1659-09-30;El Salvador;San Salvador;El Salvador;non;oui;1893;Stratovolcano;Historical;3;;;13.736, -89.286
1816-07-05;Japan;Aso;Kyushu-Japan;non;non;1592;Caldera;Historical;2;1;1;32.88, 131.1
1846-11-18;Japan;E-san;Hokkaido-Japan;non;non;618;Stratovolcano;Historical;1;;;41.8, 141.17
1912-09-06;United States;Novarupta;Alaska Peninsula;non;non;841;Caldera;Historical;6;2;2;58.27, -155.16
1953-07-26;Japan;Hakone;Honshu-Japan;non;non;1438;Complex volcano;Radiocarbon;;10;10;35.22, 139.02
1964-12-13;Indonesia;Dieng Volc Complex;Java;non;non;2565;Complex volcano;Historical;1;114;114;-7.2, 109.92
1965-10-24;Netherlands;Kick-'em-Jenny;W Indies;oui;non;-177;Submarine volcano;Historical;0;;;12.3, -61.63
1976-08-31;Indonesia;Semeru;Java;non;non;3676;Stratovolcano;Historical;2;119;119;-8.108, 112.92
1983-03-08;Russia;Kliuchevskoi;Kamchatka;non;non;4835;Stratovolcano;Historical;2;1;1;56.057, 160.638
1716-11-09;Japan;Kirishima;Kyushu-Japan;non;non;1700;Shield volcano;Historical;3;1;1;31.93, 130.87
1721-06-22;Japan;Asama;Honshu-Japan;non;non;2560;Complex volcano;Historical;1;15;15;36.4, 138.53
1786-01-01;Indonesia;Dieng Volc Complex;Java;non;non;2565;Complex volcano;Historical;2;38;38;-7.2, 109.92
1800-01-01;United States;Hualalai;Hawaiian Is;non;non;2523;Shield volcano;Historical;0;2;2;19.692, -155.87
1839-02-12;Chile;Unnamed;Chile-Is;oui;non;-642;Submarine volcano;Uncertain;2;;;-33.62, -76.83
1901-05-22;Indonesia;Kelut;Java;non;non;1731;Stratovolcano;Historical;3;;;-7.93, 112.308
1911-01-30;Philippines;Taal;Luzon-Philippines;oui;oui;400;Stratovolcano;Historical;3;1335;1335;14.002, 120.993
1933-05-10;Japan;Hakone;Honshu-Japan;non;non;1438;Complex volcano;Radiocarbon;;1;1;35.22, 139.02
1944-06-23;Japan;Usu;Hokkaido-Japan;non;non;731;Stratovolcano;Historical;2;1;1;42.53, 140.83
1947-11-02;Iceland;Hekla;Iceland-S;non;non;1491;Stratovolcano;Historical;4;1;1;63.98, -19.7
1982-05-17;Indonesia;Galunggung;Java;non;non;2168;Stratovolcano;Historical;4;68;68;-7.25, 108.05
2010-12-28;Indonesia;Tengger Caldera;Java;non;non;2329;Stratovolcano;Historical;;;;-7.942, 112.95
1780-02-09;Japan;Sakura-jima;Kyushu-Japan;non;non;1117;Stratovolcano;Historical;4;;;31.58, 130.67
1835-11-01;Pacific Ocean;Banda Api;Banda Sea;non;oui;640;Caldera;Historical;;;;-4.525, 129.871
1843-02-17;Guadeloupe;Soufriere Guadeloupe;W Indies;oui;non;1467;Stratovolcano;Historical;;;;16.05, -61.67
1854-02-18;Russia;Shiveluch;Kamchatka;non;non;3283;Stratovolcano;Historical;5;;;56.653, 161.36
1875-01-29;Indonesia;Kelut;Java;non;non;1731;Stratovolcano;Historical;0;;;-7.93, 112.308
1946-11-13;Russia;Sarychev Peak;Kuril Is;oui;non;1496;Stratovolcano;Historical;4;;;48.092, 153.2
1962-10-01;Indonesia;Merapi;Java;non;non;2947;Stratovolcano;Historical;;2;2;-7.542, 110.442
2016-05-09;Indonesia;Sinabung;Sumatra;non;non;2460;Stratovolcano;Holocene;;1;1;3.17, 98.392
1250-01-01;Ethiopia;Fentale;Africa-NE;non;non;2007;Stratovolcano;Historical;;;;8.975, 39.93
1500-01-01;Iceland;Katla;Iceland-S;non;non;1512;Subglacial volcano;Historical;4;;;63.63, -19.05
1737-05-20;Italy;Vesuvius;Italy;non;non;1281;Complex volcano;Historical;2;2;2;40.821, 14.426
1779-11-08;Japan;Sakura-jima;Kyushu-Japan;non;non;1117;Stratovolcano;Historical;4;153;153;31.58, 130.67
1856-03-02;Indonesia;Awu;Sangihe Is-Indonesia;oui;oui;1320;Stratovolcano;Historical;3;2806;2806;3.67, 125.5
1954-08-03;Papua New Guinea;Bam;New Guinea-NE of;non;non;685;Stratovolcano;Historical;2;;25;-3.6, 144.85
1962-12-31;Indonesia;Gamalama;Halmahera-Indonesia;non;non;1715;Stratovolcano;Historical;2;5;5;0.8, 127.325
1973-01-01;Indonesia;Paluweh;Lesser Sunda Is;non;non;875;Stratovolcano;Historical;3;;;-8.32, 121.708
1997-06-25;Montserrat;Soufriere Hills;W Indies;non;non;915;Stratovolcano;Historical;3;22;22;16.72, -62.18
1564-12-31;Indonesia;Gamkonora;Halmahera-Indonesia;non;non;1635;Stratovolcano;Historical;3;;;1.375, 127.52
1892-06-07;Indonesia;Awu;Sangihe Is-Indonesia;oui;non;1320;Stratovolcano;Historical;3;1532;1532;3.67, 125.5
1895-05-22;Indonesia;Semeru;Java;non;non;3676;Stratovolcano;Historical;2;;;-8.108, 112.92
1978-01-13;Japan;Usu;Hokkaido-Japan;non;non;731;Stratovolcano;Historical;3;3;3;42.53, 140.83
1979-07-18;Indonesia;Iliwerung;Lesser Sunda Is;oui;non;1018;Complex volcano;Historical;;;1239;-8.54, 123.59
